
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Ac_cdc01a.csv
#     Report Created by: Vsd22113
#     Report Created on:  Thu Dec 22 22:07:41 2022
#     Working Directory: /home/user2/Vsd22/Vsd22113/Desktop/HW4_4/build
#     SpyGlass Version : SpyGlass_vQ-2020.03
#     Policy Name      : clock-reset(SpyGlass_vQ-2020.03)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
ID,SOURCE,SOURCE CLOCK,DEST.,DEST. CLOCK,STATUS,SOURCE CLOCK TAG,DEST. CLOCK TAG,TYPE,WAIVED
788,top.WDT_wrapper.WDT.wtocnt[31],top.clk,top.WDT_wrapper.WDT.wtocnt1[31],top.clk2,Partially-Proved,clk,clk2,Fast->Slow,no
789,top.WDT_wrapper.WDT.wdlive,top.clk,top.WDT_wrapper.WDT.wdlive1,top.clk2,Partially-Proved,clk,clk2,Fast->Slow,no
78A,top.WDT_wrapper.WDEN,top.clk,top.WDT_wrapper.WDT.wden_temp,top.clk2,Partially-Proved,clk,clk2,Fast->Slow,no
